block,0,576,001F0670,0,1,1,4294967295,0,0
block,32,576,001D431C,0,1,1,4294967295,0,0
block,64,576,0013588B,0,1,1,4294967295,0,0
block,96,576,00263876,0,1,1,4294967295,0,0
block,128,576,00191E56,0,1,1,4294967295,0,0
block,160,576,0011D749,0,1,1,4294967295,0,0
block,192,576,0034BCC2,0,1,1,4294967295,0,0
block,224,576,000E8D0F,0,1,1,4294967295,0,0
block,256,576,002CD3D6,0,1,1,4294967295,0,0
block,288,576,001B765D,0,1,1,4294967295,0,0
block,320,576,0002AC56,0,1,1,4294967295,0,0
block,352,576,0029686D,0,1,1,4294967295,0,0
block,384,576,0005A502,0,1,1,4294967295,0,0
block,416,576,00261387,0,1,1,4294967295,0,0
block,448,576,001DB60C,0,1,1,4294967295,0,0
block,480,576,00180774,0,1,1,4294967295,0,0
block,512,576,00080EC9,0,1,1,4294967295,0,0
block,736,576,003713F7,0,1,1,4294967295,0,0
block,768,576,0000E390,0,1,1,4294967295,0,0
block,704,576,003D1867,0,1,1,4294967295,0,0
block,672,576,001DEDE2,0,1,1,4294967295,0,0
block,640,576,0034A32C,0,1,1,4294967295,0,0
block,608,576,00341030,0,1,1,4294967295,0,0
block,576,576,003502C3,0,1,1,4294967295,0,0
block,544,576,0007FE56,0,1,1,4294967295,0,0
playerStart,224,544,00299BAE,0,1,1,4294967295,0,0
triggerField,288,544,0006FF24,0,1,1,4294967295,0,1
modifierCode,320,512,00174E60,0,1,1,4294967295,0,1
waterCatharsis,128,480,001FA8F0,0,1,1,4294967295,0,0
waterCatharsis,128,512,000A1441,0,1,1,4294967295,0,0
